Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,492,0,0,29,0,0,463,29,0,454.1319790178538,454.1319790178538,6396.885272619855,,1.0,1.0,1.0,,,,
mir-conflicts,0,492,0,0,21,0,0,471,21,0,419.2293406550363,419.2293406550363,5751.501056774608,,0.923144284094899,0.923144284094899,0.8991096153298793,,0.02427913639941645,0.02427913639941645,0.0005100001677308527
