Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,50,0,0,29,0,0,21,29,0,5934.9494315881575,5934.9494315881575,27630.907032623873,,1.0,1.0,1.0,,,,
mir-conflicts,0,50,0,0,21,0,0,29,21,0,4180.818800664822,4180.818800664822,18876.838449004583,,0.7044405093685963,0.7044405093685963,0.6831783852305919,,0.11672770019947837,0.11672770019947837,0.3224376107459681
