Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,795,0,0,158,0,0,637,158,0,446.4555376338399,446.4555376338399,4349.245094174444,,1.0,1.0,1.0,,,,
mir-conflicts,0,795,0,1,150,0,1,644,150,0,424.5176731936356,424.5176731936356,4046.088190692467,,0.9508621517912571,0.9508621517912571,0.9302966613934824,,0.02267341131614722,0.02267341131614722,0.0001022353365504566
