Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,598,0,0,29,0,0,569,29,0,405.9898210021928,405.9898210021928,4079.5750229745972,,1.0,1.0,1.0,,,,
mir-conflicts,0,598,0,0,21,0,0,577,21,0,380.15118861699324,380.15118861699324,3764.2176863189766,,0.9363564526780094,0.9363564526780094,0.9226984833273933,,0.02259062870695638,0.02259062870695638,0.0016913529498241173
