Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,442,0,0,0,0,0,442,0,0,339.3817099006289,339.3817099006289,5413.265976166478,,1.0,1.0,1.0,,,,
mir-conflicts,0,442,0,0,0,0,0,442,0,0,323.0441236735783,323.0441236735783,5022.320760078319,,0.9518607345344738,0.9518607345344738,0.9277801575223881,,0.06775494537450814,0.06775494537450814,0.0008092972413460592
