Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,243,0,0,29,0,0,214,29,0,2594.4337659225307,2594.4337659225307,27523.37291781709,,1.0,1.0,1.0,,,,
mir-conflicts,0,243,0,0,21,0,0,222,21,0,2217.7863883005434,2217.7863883005434,22726.75563785135,,0.8548248243723968,0.8548248243723968,0.8257256734380589,,0.0015314329937675967,0.0015314329937675967,0.0007387601703299714
