Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,615,0,0,0,0,0,615,0,0,201.17550239004746,201.17550239004746,2412.6622188891674,,1.0,1.0,1.0,,,,
mir-conflicts,0,615,0,0,0,0,0,615,0,0,194.0691728573491,194.0691728573491,2283.2922188655866,,0.964675969746454,0.964675969746454,0.9463787350708608,,0.06934607580658154,0.06934607580658154,0.0008092972413460592
