ProblemName,Seed,Permutation,T_default,T_mir-conflicts,maxT_default,maxT_mir-conflicts,N_default,N_mir-conflicts,PDI_default,PDI_mir-conflicts,St_default,St_mir-conflicts,TQ+1_default,TQ+1_mir-conflicts,maxTQ+1_default,maxTQ+1_mir-conflicts,NQ+100_default,NQ+100_mir-conflicts,PDIQ_default,PDIQ_mir-conflicts
CMS750_4,4,0,7200.0,2972.46,7200.0,2972.46,10485,9107,,,timelimit,ok,1.0,0.4129232051104013,1.0,0.4129232051104013,1.0,0.8698157770429854,0,0
atlanta-ip,0,0,6287.46,7200.0,6287.46,7200.0,13744,32829,,,ok,timelimit,1.0,1.1451134299971695,1.0,1.1451134299971695,1.0,2.3785755561976307,0,0
atlanta-ip,3,0,7200.0,7088.25,7200.0,7088.25,20599,22435,,,timelimit,ok,1.0,0.9844813220386057,1.0,0.9844813220386057,1.0,1.0886999371950337,0,0
brazil3,0,0,7200.0,6940.7,7200.0,6940.7,1873,1168,,,timelimit,ok,1.0,0.9639911123455075,1.0,0.9639911123455075,1.0,0.6426761277242777,0,0
brazil3,4,0,6158.38,7200.0,6158.38,7200.0,1503,1714,,,ok,timelimit,1.0,1.1691111767742857,1.0,1.1691111767742857,1.0,1.1316281971303805,0,0
chromaticindex512-7,1,0,1285.37,7200.0,1285.37,7200.0,2084,41506,,,ok,timelimit,1.0,5.597922837130842,1.0,5.597922837130842,1.0,19.0503663003663,0,0
chromaticindex512-7,2,0,7200.0,776.49,7200.0,776.49,73056,493,,,timelimit,ok,1.0,0.10796972642688515,1.0,0.10796972642688515,1.0,0.008105965334353983,0,0
cost266-UUE,4,0,7200.0,3910.42,7200.0,3910.42,50344,221699,,,timelimit,ok,1.0,0.5431773364810443,1.0,0.5431773364810443,1.0,4.396935215288241,0,0
icir97_tension,1,0,7200.0,4731.33,7200.0,4731.33,1561372,849674,,,timelimit,ok,1.0,0.6571767810026385,1.0,0.6571767810026385,1.0,0.5442134088859742,0,0
icir97_tension,2,0,6804.86,7200.0,6804.86,7200.0,1291649,2135937,,,ok,timelimit,1.0,1.0580587905128815,1.0,1.0580587905128815,1.0,1.6536006608094915,0,0
icir97_tension,4,0,2546.04,7200.0,2546.04,7200.0,706372,1635864,,,ok,timelimit,1.0,2.8272033419184623,1.0,2.8272033419184623,1.0,2.3156813008866592,0,0
mushroom-best,0,0,7200.0,5068.26,7200.0,5068.26,292242,140290,,,timelimit,ok,1.0,0.7039661158172477,1.0,0.7039661158172477,1.0,0.48022521567205534,0,0
neos-1456979,0,0,6927.21,7200.0,6927.21,7200.0,12426,12624,,,ok,timelimit,1.0,1.0393738065099065,1.0,1.0393738065099065,1.0,1.0158071211879292,0,0
neos-1456979,1,0,7200.0,1808.43,7200.0,1808.43,15527,15131,,,timelimit,ok,1.0,0.2512748229412582,1.0,0.2512748229412582,1.0,0.974659243616817,0,0
neos-1456979,2,0,7200.0,5328.86,7200.0,5328.86,12707,7518,,,timelimit,ok,1.0,0.7401555339536176,1.0,0.7401555339536176,1.0,0.5948309518232217,0,0
neos-1456979,4,0,7200.0,4908.58,7200.0,4908.58,11087,8277,,,timelimit,ok,1.0,0.6817914178586307,1.0,0.6817914178586307,1.0,0.7488155895235541,0,0
neos-3004026-krka,0,0,7200.0,242.19,7200.0,242.19,868066,5954,,,timelimit,ok,1.0,0.033771698375225666,1.0,0.033771698375225666,1.0,0.0069733207704517335,0,0
neos-3004026-krka,1,0,7200.0,134.03,7200.0,134.03,547504,6553,,,timelimit,ok,1.0,0.01875156228301625,1.0,0.01875156228301625,1.0,0.012149290363109109,0,0
neos-3004026-krka,2,0,7200.0,437.68,7200.0,437.68,421242,13889,,,timelimit,ok,1.0,0.06091931676156089,1.0,0.06091931676156089,1.0,0.03320105757318283,0,0
neos-3004026-krka,4,0,7200.0,225.11,7200.0,225.11,763275,6275,,,timelimit,ok,1.0,0.03139980558255798,1.0,0.03139980558255798,1.0,0.00835107253970853,0,0
neos-3024952-loue,4,0,7200.0,3212.5,7200.0,3212.5,343081,65273,,,timelimit,ok,1.0,0.44625746424107765,1.0,0.44625746424107765,1.0,0.19049131507863198,0,0
neos-3216931-puriri,0,0,6340.56,7200.0,6340.56,7200.0,2667,1887,,,ok,timelimit,1.0,1.1355250127728822,1.0,1.1355250127728822,1.0,0.718106252258764,0,0
neos-3216931-puriri,3,0,5606.68,7200.0,5606.68,7200.0,2992,2403,,,ok,timelimit,1.0,1.2841317621547592,1.0,1.2841317621547592,1.0,0.8095084087968952,0,0
neos-3216931-puriri,4,0,7200.0,3777.85,7200.0,3777.85,3378,1788,,,timelimit,ok,1.0,0.5247673934175808,1.0,0.5247673934175808,1.0,0.542840713053479,0,0
neos-5107597-kakapo,2,0,7200.0,5819.03,7200.0,5819.03,1392913,980938,,,timelimit,ok,1.0,0.8082252464935425,1.0,0.8082252464935425,1.0,0.7042561698993477,0,0
neos-662469,4,0,7200.0,4547.29,7200.0,4547.29,45248,20362,,,timelimit,ok,1.0,0.6316192195528398,1.0,0.6316192195528398,1.0,0.45122166357943017,0,0
nexp-150-20-8-5,1,0,4106.49,7200.0,4106.49,7200.0,2364,6583,,,ok,timelimit,1.0,1.7531387781832701,1.0,1.7531387781832701,1.0,2.7122564935064934,0,0
ns1644855,1,0,7200.0,4729.7,7200.0,4729.7,30,7,,,timelimit,ok,1.0,0.6569504235522844,1.0,0.6569504235522844,1.0,0.823076923076923,0,0
ns1644855,3,0,7200.0,975.58,7200.0,975.58,92,1,,,timelimit,ok,1.0,0.13561727537841967,1.0,0.13561727537841967,1.0,0.5260416666666666,0,0
peg-solitaire-a3,1,0,7200.0,2485.01,7200.0,2485.01,2583,530,,,timelimit,ok,1.0,0.3452312178864047,1.0,0.3452312178864047,1.0,0.2348117778606038,0,0
peg-solitaire-a3,3,0,1211.67,7200.0,1211.67,7200.0,489,4629,,,ok,timelimit,1.0,5.938136508695687,1.0,5.938136508695687,1.0,8.028862478777588,0,0
rail01,0,0,7200.0,6932.6,7200.0,6932.6,168,143,,,timelimit,ok,1.0,0.9628662685738092,1.0,0.9628662685738092,1.0,0.9067164179104478,0,0
rail01,1,0,5295.45,7200.0,5295.45,7200.0,46,53,,,ok,timelimit,1.0,1.3595899139989993,1.0,1.3595899139989993,1.0,1.047945205479452,0,0
rail01,2,0,7200.0,5645.15,7200.0,5645.15,50,62,,,timelimit,ok,1.0,0.7840786001944174,1.0,0.7840786001944174,1.0,1.08,0,0
rail01,4,0,7200.0,5956.29,7200.0,5956.29,129,69,,,timelimit,ok,1.0,0.8272864879877795,1.0,0.8272864879877795,1.0,0.7379912663755459,0,0
reblock115,3,0,6467.46,7200.0,6467.46,7200.0,511960,590549,,,ok,timelimit,1.0,1.1132479755614164,1.0,1.1132479755614164,1.0,1.1534761551380697,0,0
sp98ar,0,0,6848.55,7200.0,6848.55,7200.0,72153,77273,,,ok,timelimit,1.0,1.0513099400690555,1.0,1.0513099400690555,1.0,1.070862109531784,0,0
sp98ar,1,0,4513.58,7200.0,4513.58,7200.0,54752,102846,,,ok,timelimit,1.0,1.5950542464636799,1.0,1.5950542464636799,1.0,1.8767957412674106,0,0
sp98ar,4,0,3719.24,7200.0,3719.24,7200.0,37861,79359,,,ok,timelimit,1.0,1.935627808958562,1.0,1.935627808958562,1.0,2.093174573904797,0,0
splice1k1,0,0,6274.96,7200.0,6274.96,7200.0,620,928,,,ok,timelimit,1.0,1.147394183519334,1.0,1.147394183519334,1.0,1.4277777777777778,0,0
supportcase18,0,0,7200.0,6560.73,7200.0,6560.73,46652,49956,,,timelimit,ok,1.0,0.9112248298847382,1.0,0.9112248298847382,1.0,1.0706707734428473,0,0
supportcase18,3,0,7200.0,5576.12,7200.0,5576.12,41540,20434,,,timelimit,ok,1.0,0.7744924316067213,1.0,0.7744924316067213,1.0,0.4931316042267051,0,0
supportcase18,4,0,4172.88,7200.0,4172.88,7200.0,31748,43586,,,ok,timelimit,1.0,1.7252532415881625,1.0,1.7252532415881625,1.0,1.3717030896759608,0,0
