Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,443,0,0,29,0,0,414,29,0,987.7154920248646,987.7154920248646,9909.24235526579,,1.0,1.0,1.0,,,,
mir-conflicts,0,443,0,0,21,0,0,422,21,0,890.7087958177444,890.7087958177444,8758.277071874163,,0.9017868029909587,0.9017868029909587,0.8838493154040177,,0.001364552674102543,0.001364552674102543,0.00011219994707362124
