Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_miss_,_primfail_,_solved_,_time_,_unkn_,T_sgm(1.0),maxT_sgm(1.0),N_sgm(100.0),PDI_am,T_sgm(1.0)Q,maxT_sgm(1.0)Q,N_sgm(100.0)Q,PDI_amQ,T_sgm(1.0)p,maxT_sgm(1.0)p,N_sgm(100.0)p
default,0,794,0,0,158,0,0,636,158,0,445.94433476213334,445.94433476213334,4353.719497209385,,1.0,1.0,1.0,,,,
mir-conflicts,0,794,0,0,150,0,0,644,150,0,424.2430402298766,424.2430402298766,4050.173062488542,,0.9513363152290472,0.9513363152290472,0.9302788259750295,,0.026050569142730594,0.026050569142730594,0.00010674503462959078
